host_name,planet_letter,planet_name,controversial_flag,orbital_period,orbital_radius,eccentricity,planet_mass,planet_radius,optical_magnitude,near_ir_magnitude,spectral_type,stellar_temperature,stellar_surface_gravity,stellar_luminosity,stellar_mass,stellar_radius,stellar_metallicity,stellar_age
CoRoT-8,b,CoRoT-8 b,0,6.21229,0.063,0.0,69.92,6.39,14.8,11.463,K1 V,5080.0,4.58,-0.665,0.88,0.77,0.3,3.0
CoRoT-9,b,CoRoT-9 b,0,95.272656,0.4021,0.133,266.9772,11.949000000000002,13.69,11.687999999999999,G3 V,5625.0,4.54,-0.254,0.96,0.96,-0.01,6.0
CoRoT-10,b,CoRoT-10 b,0,13.2406,0.1055,0.53,874.0,10.87,15.22,11.782,K1 V,5075.0,4.65,-0.726,0.89,0.79,0.26,3.0
CoRoT-11,b,CoRoT-11 b,0,2.99433,0.0436,0.0,740.51,16.03,12.939,11.248,F6 V,6440.0,4.22,0.37799999999999995,1.27,1.37,-0.03,2.0
CoRoT-12,b,CoRoT-12 b,0,2.828042,0.04016,0.07,291.438,16.14,15.515,13.557,,5675.0,4.38,0.07,1.08,1.12,0.16,6.3
CoRoT-13,b,CoRoT-13 b,0,4.03519,0.051,0.0,415.704,9.92,15.039000000000001,13.376,G0 V,5945.0,4.46,0.073,1.09,1.01,0.01,1.635
CoRoT-14,b,CoRoT-14 b,0,1.51214,0.027,0.0,2415.4,12.22,16.033,13.806,F9 V,6035.0,4.35,0.11900000000000001,1.13,1.21,0.05,4.2
CoRoT-16,b,CoRoT-16 b,0,5.35227,0.0618,0.33,170.032,13.11,15.63,12.847000000000001,G5 V,5650.0,4.36,-0.435,1.1,1.19,0.19,6.73
CoRoT-17,b,CoRoT-17 b,0,3.7681,0.0461,0.0,772.29,11.43,15.46,12.472000000000001,G2 V,5740.0,4.4,0.134,1.04,1.59,0.0,10.7
CoRoT-18,b,CoRoT-18 b,0,1.9000693,0.0295,0.08,1102.82,14.68,15.0,13.014000000000001,G9 V,5440.0,4.4,-0.226,0.95,1.0,-0.1,0.032
CoRoT-19,b,CoRoT-19 b,0,3.89713,0.0518,0.047,352.78,14.46,14.007,11.837,F9 V,6090.0,4.07,0.544,1.21,1.65,-0.02,5.0
CoRoT-20,b,CoRoT-20 b,0,9.24285,0.09,0.59,1366.669,9.416,14.66,12.513,G2 V,4947.5,4.35,0.006,1.14,1.37,0.14,0.1
